kategoria_en,oznaczenie_kwartalu,ocen_5
electronics,Q4-2016,1
electronics,Q4-2017,222
fashio_female_clothing,Q1-2017,3
fashio_female_clothing,Q1-2018,3
fashio_female_clothing,Q2-2017,4
fashio_female_clothing,Q3-2017,6
fashio_female_clothing,Q3-2018,1
fashio_female_clothing,Q4-2016,1
fashio_female_clothing,Q4-2017,2
fashion_bags_accessories,Q1-2017,69
fashion_bags_accessories,Q1-2018,225
fashion_bags_accessories,Q2-2017,144
fashion_bags_accessories,Q2-2018,224
fashion_bags_accessories,Q3-2017,171
fashion_bags_accessories,Q3-2018,136
fashion_bags_accessories,Q4-2016,4
fashion_bags_accessories,Q4-2017,203
fashion_childrens_clothes,Q1-2018,2
fashion_childrens_clothes,Q2-2017,2
fashion_childrens_clothes,Q2-2018,1
fashion_childrens_clothes,Q4-2017,2
fashion_male_clothing,Q1-2017,8
fashion_male_clothing,Q1-2018,5
fashion_male_clothing,Q2-2017,8
fashion_male_clothing,Q2-2018,3
fashion_male_clothing,Q3-2017,17
fashion_male_clothing,Q3-2018,11
fashion_male_clothing,Q4-2017,16
fashion_shoes,Q1-2017,9
fashion_shoes,Q1-2018,18
fashion_shoes,Q2-2017,37
fashion_shoes,Q2-2018,24
fashion_shoes,Q3-2017,36
fashion_shoes,Q3-2018,6
fashion_shoes,Q4-2016,1
fashion_shoes,Q4-2017,33
fashion_sport,Q1-2017,1
fashion_sport,Q1-2018,2
fashion_sport,Q2-2017,7
fashion_sport,Q2-2018,1
fashion_sport,Q3-2017,2
fashion_sport,Q4-2017,4
fashion_underwear_beach,Q1-2017,8
fashion_underwear_beach,Q1-2018,9
fashion_underwear_beach,Q2-2017,4
fashion_underwear_beach,Q2-2018,8
fashion_underwear_beach,Q3-2017,18
fashion_underwear_beach,Q3-2018,1
fashion_underwear_beach,Q4-2017,13
fixed_telephony,Q1-2017,28
fixed_telephony,Q1-2018,11
fixed_telephony,Q2-2017,11
fixed_telephony,Q2-2018,23
fixed_telephony,Q3-2017,22
fixed_telephony,Q3-2018,14
fixed_telephony,Q4-2016,2
fixed_telephony,Q4-2017,9
flowers,Q1-2018,10
flowers,Q2-2018,5
flowers,Q3-2018,2
flowers,Q4-2017,4
food,Q1-2017,15
food,Q1-2018,33
food,Q2-2017,13
food,Q2-2018,71
food,Q3-2017,21
food,Q3-2018,135
food,Q4-2016,1
food,Q4-2017,22
food_drink,Q1-2017,3
food_drink,Q1-2018,34
food_drink,Q2-2017,12
food_drink,Q2-2018,37
food_drink,Q3-2017,20
food_drink,Q3-2018,32
food_drink,Q4-2017,37
furniture_bedroom,Q1-2017,9
furniture_bedroom,Q1-2018,11
furniture_bedroom,Q2-2017,10
furniture_bedroom,Q2-2018,11
furniture_bedroom,Q3-2017,5
furniture_bedroom,Q3-2018,14
furniture_bedroom,Q4-2017,6
furniture_decor,Q1-2017,355
furniture_decor,Q1-2018,725
furniture_decor,Q2-2017,372
furniture_decor,Q2-2018,939
furniture_decor,Q3-2017,601
furniture_decor,Q3-2018,615
furniture_decor,Q4-2016,33
furniture_decor,Q4-2017,772
furniture_living_room,Q1-2017,22
furniture_living_room,Q1-2018,31
furniture_living_room,Q2-2017,29
furniture_living_room,Q2-2018,27
furniture_living_room,Q3-2017,39
furniture_living_room,Q3-2018,62
furniture_living_room,Q4-2017,42
furniture_mattress_and_upholstery,Q1-2018,10
furniture_mattress_and_upholstery,Q3-2017,1
furniture_mattress_and_upholstery,Q4-2017,6
garden_tools,Q1-2017,111
garden_tools,Q1-2018,429
garden_tools,Q2-2017,217
garden_tools,Q2-2018,484
garden_tools,Q3-2017,384
garden_tools,Q3-2018,243
garden_tools,Q4-2016,4
garden_tools,Q4-2017,599
health_beauty,Q1-2017,237
health_beauty,Q1-2018,1032
health_beauty,Q2-2017,415
health_beauty,Q2-2018,1452
health_beauty,Q3-2017,610
health_beauty,Q3-2018,1210
health_beauty,Q4-2016,17
health_beauty,Q4-2017,834
home_appliances,Q1-2017,12
home_appliances,Q1-2018,75
home_appliances,Q2-2017,40
home_appliances,Q2-2018,139
home_appliances,Q3-2017,63
home_appliances,Q3-2018,96
home_appliances,Q4-2017,26
home_appliances_2,Q1-2017,7
home_appliances_2,Q1-2018,22
home_appliances_2,Q2-2017,6
home_appliances_2,Q2-2018,43
home_appliances_2,Q3-2017,14
home_appliances_2,Q3-2018,23
home_appliances_2,Q4-2017,14
home_comfort_2,Q1-2017,1
home_comfort_2,Q1-2018,1
home_comfort_2,Q2-2017,4
home_comfort_2,Q3-2017,3
home_comfort_2,Q4-2017,4
home_confort,Q1-2017,3
home_confort,Q1-2018,25
home_confort,Q2-2017,36
home_confort,Q2-2018,30
home_confort,Q3-2017,62
home_confort,Q3-2018,29
home_confort,Q4-2017,45
home_construction,Q1-2017,10
home_construction,Q1-2018,49
home_construction,Q2-2017,6
home_construction,Q2-2018,109
home_construction,Q3-2017,7
home_construction,Q3-2018,77
home_construction,Q4-2017,39
housewares,Q1-2017,135
housewares,Q1-2018,583
housewares,Q2-2017,431
housewares,Q2-2018,950
housewares,Q3-2017,510
housewares,Q3-2018,840
housewares,Q4-2016,4
housewares,Q4-2017,519
industry_commerce_and_business,Q1-2017,2
industry_commerce_and_business,Q1-2018,36
industry_commerce_and_business,Q2-2017,1
industry_commerce_and_business,Q2-2018,77
industry_commerce_and_business,Q3-2017,4
industry_commerce_and_business,Q3-2018,16
industry_commerce_and_business,Q4-2016,1
industry_commerce_and_business,Q4-2017,11
kitchen_dining_laundry_garden_furniture,Q1-2017,3
kitchen_dining_laundry_garden_furniture,Q1-2018,33
kitchen_dining_laundry_garden_furniture,Q2-2017,12
kitchen_dining_laundry_garden_furniture,Q2-2018,26
kitchen_dining_laundry_garden_furniture,Q3-2017,14
kitchen_dining_laundry_garden_furniture,Q3-2018,36
kitchen_dining_laundry_garden_furniture,Q4-2017,22
la_cuisine,Q1-2018,1
la_cuisine,Q2-2017,1
la_cuisine,Q3-2017,6
la_cuisine,Q4-2017,1
luggage_accessories,Q1-2017,27
luggage_accessories,Q1-2018,130
luggage_accessories,Q2-2017,117
luggage_accessories,Q2-2018,100
luggage_accessories,Q3-2017,134
luggage_accessories,Q3-2018,87
luggage_accessories,Q4-2017,108
market_place,Q1-2017,21
market_place,Q1-2018,28
market_place,Q2-2017,32
market_place,Q2-2018,20
market_place,Q3-2017,19
market_place,Q3-2018,8
market_place,Q4-2016,11
market_place,Q4-2017,20
music,Q1-2017,3
music,Q1-2018,2
music,Q2-2017,2
music,Q2-2018,7
music,Q3-2017,1
music,Q3-2018,8
music,Q4-2017,1
musical_instruments,Q1-2017,7
musical_instruments,Q1-2018,86
musical_instruments,Q2-2017,31
musical_instruments,Q2-2018,112
musical_instruments,Q3-2017,49
musical_instruments,Q3-2018,54
musical_instruments,Q4-2017,65
office_furniture,Q1-2017,42
office_furniture,Q1-2018,103
office_furniture,Q2-2017,63
office_furniture,Q2-2018,158
office_furniture,Q3-2017,102
office_furniture,Q3-2018,72
office_furniture,Q4-2017,77
party_supplies,Q1-2018,2
party_supplies,Q2-2018,5
party_supplies,Q3-2017,1
party_supplies,Q3-2018,10
party_supplies,Q4-2017,5
perfumery,Q1-2017,96
perfumery,Q1-2018,395
perfumery,Q2-2017,230
perfumery,Q2-2018,400
perfumery,Q3-2017,247
perfumery,Q3-2018,326
perfumery,Q4-2016,23
perfumery,Q4-2017,443
pet_shop,Q1-2017,55
pet_shop,Q1-2018,152
pet_shop,Q2-2017,119
pet_shop,Q2-2018,312
pet_shop,Q3-2017,139
pet_shop,Q3-2018,276
pet_shop,Q4-2016,2
pet_shop,Q4-2017,138
signaling_and_security,Q1-2018,12
signaling_and_security,Q2-2017,5
signaling_and_security,Q2-2018,34
signaling_and_security,Q3-2017,12
signaling_and_security,Q3-2018,38
signaling_and_security,Q4-2017,9
small_appliances,Q1-2017,40
small_appliances,Q1-2018,79
small_appliances,Q2-2017,41
small_appliances,Q2-2018,86
small_appliances,Q3-2017,62
small_appliances,Q3-2018,48
small_appliances,Q4-2017,52
small_appliances_home_oven_and_coffee,Q1-2018,6
small_appliances_home_oven_and_coffee,Q2-2018,21
small_appliances_home_oven_and_coffee,Q3-2017,1
small_appliances_home_oven_and_coffee,Q3-2018,22
sports_leisure,Q1-2017,216
sports_leisure,Q1-2018,968
sports_leisure,Q2-2017,469
sports_leisure,Q2-2018,1000
sports_leisure,Q3-2017,750
sports_leisure,Q3-2018,729
sports_leisure,Q4-2016,10
sports_leisure,Q4-2017,929
stationery,Q1-2017,49
stationery,Q1-2018,408
stationery,Q2-2017,102
stationery,Q2-2018,316
stationery,Q3-2017,137
stationery,Q3-2018,264
stationery,Q4-2017,262
tablets_printing_image,Q1-2017,5
tablets_printing_image,Q1-2018,7
tablets_printing_image,Q2-2017,16
tablets_printing_image,Q2-2018,2
